Date,Close
7/9/2018 16:00:00,41.82
7/10/2018 16:00:00,41.53
7/11/2018 16:00:00,41.16
7/12/2018 16:00:00,41.66
7/13/2018 16:00:00,41.47
7/16/2018 16:00:00,41.98
7/17/2018 16:00:00,43.22
7/18/2018 16:00:00,43.25
7/19/2018 16:00:00,43.28
7/20/2018 16:00:00,42.55
7/23/2018 16:00:00,41.88
7/24/2018 16:00:00,40.38
7/25/2018 16:00:00,39.54
7/26/2018 16:00:00,43.84
7/27/2018 16:00:00,43.9
7/30/2018 16:00:00,43.7
7/31/2018 16:00:00,43.7
8/1/2018 16:00:00,43.84
8/2/2018 16:00:00,43.78
8/3/2018 16:00:00,43.78
8/6/2018 16:00:00,43.78
8/7/2018 16:00:00,44.29
8/8/2018 16:00:00,44.1
8/9/2018 16:00:00,45
8/10/2018 16:00:00,44.92
8/13/2018 16:00:00,43.52
8/14/2018 16:00:00,43.99
8/15/2018 16:00:00,43.83
8/16/2018 16:00:00,44.32
8/17/2018 16:00:00,44.38
8/20/2018 16:00:00,44.79
8/21/2018 16:00:00,46.47
8/22/2018 16:00:00,45.7
8/23/2018 16:00:00,44.97
8/24/2018 16:00:00,44.96
8/27/2018 16:00:00,45.38
8/28/2018 16:00:00,45.32
8/29/2018 16:00:00,45.14
8/30/2018 16:00:00,44.52
8/31/2018 16:00:00,44.51
9/4/2018 16:00:00,44.68
9/5/2018 16:00:00,45.11
9/6/2018 16:00:00,44.77
9/7/2018 16:00:00,42.99
9/10/2018 16:00:00,42.87
9/11/2018 16:00:00,42.99
9/12/2018 16:00:00,43.5
9/13/2018 16:00:00,42.66
9/14/2018 16:00:00,43
9/17/2018 16:00:00,42.54
9/18/2018 16:00:00,43.18
9/19/2018 16:00:00,42.62
9/20/2018 16:00:00,42.54
9/21/2018 16:00:00,42.41
9/24/2018 16:00:00,41.95
9/25/2018 16:00:00,42.99
9/26/2018 16:00:00,42.55
9/27/2018 16:00:00,41.83
9/28/2018 16:00:00,42.18
10/1/2018 16:00:00,42.22
10/2/2018 16:00:00,42.59
10/3/2018 16:00:00,41.48
10/4/2018 16:00:00,40.5
10/5/2018 16:00:00,40.26
10/8/2018 16:00:00,40.65
10/9/2018 16:00:00,39.39
10/10/2018 16:00:00,38.27
10/11/2018 16:00:00,37.92
10/12/2018 16:00:00,37.63
10/15/2018 16:00:00,37.68
10/16/2018 16:00:00,38.65
10/17/2018 16:00:00,37.78
10/18/2018 16:00:00,37.38
10/19/2018 16:00:00,35.92
10/22/2018 16:00:00,34.97
10/23/2018 16:00:00,35.68
10/24/2018 16:00:00,34.42
10/25/2018 16:00:00,35.62
10/26/2018 16:00:00,36.05
10/29/2018 16:00:00,35.04
10/30/2018 16:00:00,36.36
10/31/2018 16:00:00,35.96
11/1/2018 16:00:00,36.97
11/2/2018 16:00:00,36.09
11/5/2018 16:00:00,37.36
11/6/2018 16:00:00,37.49
11/7/2018 16:00:00,37.59
11/8/2018 16:00:00,34.22
11/9/2018 16:00:00,34.4
11/12/2018 16:00:00,33.89
11/13/2018 16:00:00,34.69
11/14/2018 16:00:00,34.48
11/15/2018 16:00:00,33.58
11/16/2018 16:00:00,34.78
11/19/2018 16:00:00,34.96
11/20/2018 16:00:00,34.86
11/21/2018 16:00:00,35.8
11/23/2018 13:00:00,35.81
11/26/2018 16:00:00,36.12
11/27/2018 16:00:00,36.3
11/28/2018 16:00:00,37.32
11/29/2018 16:00:00,37.35
11/30/2018 16:00:00,37.22
12/3/2018 16:00:00,37.99
12/4/2018 16:00:00,36.28
12/6/2018 16:00:00,36.96
12/7/2018 16:00:00,36.46
12/10/2018 16:00:00,35.92
12/11/2018 16:00:00,35.74
12/12/2018 16:00:00,35.97
12/13/2018 16:00:00,36.08
12/14/2018 16:00:00,35.5
12/17/2018 16:00:00,35.3
12/18/2018 16:00:00,36.04
12/19/2018 16:00:00,35.64
12/20/2018 16:00:00,35.06
12/21/2018 16:00:00,33.62
12/24/2018 13:00:00,32.96
12/26/2018 16:00:00,34.18
12/27/2018 16:00:00,34.56
12/28/2018 16:00:00,34.59
12/31/2018 16:00:00,34.66
1/2/2019 16:00:00,35.27
1/3/2019 16:00:00,35.13
1/4/2019 16:00:00,36.75
1/7/2019 16:00:00,37.4
1/8/2019 16:00:00,37.25
1/9/2019 16:00:00,39.58
1/10/2019 16:00:00,39.11
1/11/2019 16:00:00,39.6
1/14/2019 16:00:00,38.42
1/15/2019 16:00:00,38.48
1/16/2019 16:00:00,37.85
1/17/2019 16:00:00,37.61
1/18/2019 16:00:00,37.18
1/22/2019 16:00:00,36.42
1/23/2019 16:00:00,37.3
1/24/2019 16:00:00,38.3
1/25/2019 16:00:00,37.3
1/28/2019 16:00:00,36.39
1/29/2019 16:00:00,36.68
1/30/2019 16:00:00,37.59
1/31/2019 16:00:00,38.45
2/1/2019 16:00:00,37.99
2/4/2019 16:00:00,37.73
2/5/2019 16:00:00,38.35
2/6/2019 16:00:00,37.53
2/7/2019 16:00:00,38.45
2/8/2019 16:00:00,37.72
2/11/2019 16:00:00,37.76
2/12/2019 16:00:00,40.61
2/13/2019 16:00:00,40.17
2/14/2019 16:00:00,39.8
2/15/2019 16:00:00,39.97
2/19/2019 16:00:00,40.43
2/20/2019 16:00:00,39.87
2/21/2019 16:00:00,40.27
2/22/2019 16:00:00,40.84
2/25/2019 16:00:00,40.79
2/26/2019 16:00:00,40.6
2/27/2019 16:00:00,40.04
2/28/2019 16:00:00,38.89
3/1/2019 16:00:00,38.78
3/4/2019 16:00:00,39.99
3/5/2019 16:00:00,39.15
3/6/2019 16:00:00,39.15
3/7/2019 16:00:00,40.56
3/8/2019 16:00:00,40.4
3/11/2019 16:00:00,41.1
3/12/2019 16:00:00,41.4
3/13/2019 16:00:00,40.95
3/14/2019 16:00:00,40.8
3/15/2019 16:00:00,40.76
3/18/2019 16:00:00,40.46
3/19/2019 16:00:00,39.58
3/20/2019 16:00:00,39.21
3/21/2019 16:00:00,40.54
3/22/2019 16:00:00,40.93
3/25/2019 16:00:00,41.96
3/26/2019 16:00:00,41.59
3/27/2019 16:00:00,42.54
3/28/2019 16:00:00,41.67
3/29/2019 16:00:00,41.38
4/1/2019 16:00:00,41.71
4/2/2019 16:00:00,41.7
4/3/2019 16:00:00,41.89
4/4/2019 16:00:00,42.81
4/5/2019 16:00:00,43.55
4/8/2019 16:00:00,43.7
4/9/2019 16:00:00,43.4
4/10/2019 16:00:00,43.93
4/11/2019 16:00:00,44.85
4/12/2019 16:00:00,45.35
4/15/2019 16:00:00,45.42
4/16/2019 16:00:00,45.69
4/17/2019 16:00:00,45.77
4/18/2019 16:00:00,46.42
4/22/2019 16:00:00,45.66
4/23/2019 16:00:00,46.4
4/24/2019 16:00:00,46.67
4/25/2019 16:00:00,44.45
4/26/2019 16:00:00,44
4/29/2019 16:00:00,43.95
4/30/2019 16:00:00,44.31
5/1/2019 16:00:00,44.35
5/2/2019 16:00:00,44.38
5/3/2019 16:00:00,44.13
5/6/2019 16:00:00,44.13
5/7/2019 16:00:00,43.75
5/8/2019 16:00:00,43.23
5/9/2019 16:00:00,43.62
5/10/2019 16:00:00,43.52
5/13/2019 16:00:00,43.23
5/14/2019 16:00:00,43.98
5/15/2019 16:00:00,44.05
5/16/2019 16:00:00,44.96
5/17/2019 16:00:00,44.54
5/20/2019 16:00:00,43.36
5/21/2019 16:00:00,43.8
5/22/2019 16:00:00,43.76
5/23/2019 16:00:00,43.62
5/24/2019 16:00:00,44.63
5/28/2019 16:00:00,44.11
5/29/2019 16:00:00,43.48
5/30/2019 16:00:00,43.96
5/31/2019 16:00:00,42.76
6/3/2019 16:00:00,43.27
6/4/2019 16:00:00,44.41
6/5/2019 16:00:00,44.63
6/6/2019 16:00:00,45.17
6/7/2019 16:00:00,45.6
6/10/2019 16:00:00,45.49
6/11/2019 16:00:00,44.87
6/12/2019 16:00:00,45.04
6/13/2019 16:00:00,45.46
6/14/2019 16:00:00,45.96
6/17/2019 16:00:00,45.96
6/18/2019 16:00:00,45.84
6/19/2019 16:00:00,44.85
6/20/2019 16:00:00,45.69
6/21/2019 16:00:00,44.66
6/24/2019 16:00:00,44.28
6/25/2019 16:00:00,42.57
6/26/2019 16:00:00,42.06
6/27/2019 16:00:00,43.22
6/28/2019 16:00:00,43.13
7/1/2019 16:00:00,43.62
7/2/2019 16:00:00,44.12
7/3/2019 13:00:00,44.35
7/5/2019 16:00:00,43.48
