Date,Close
7/9/2018 16:00:00,54.63
7/10/2018 16:00:00,54.35
7/11/2018 16:00:00,53.97
7/12/2018 16:00:00,53.78
7/13/2018 16:00:00,54.06
7/16/2018 16:00:00,54.05
7/17/2018 16:00:00,55.55
7/18/2018 16:00:00,55.17
7/19/2018 16:00:00,55.14
7/20/2018 16:00:00,54.68
7/23/2018 16:00:00,54.3
7/24/2018 16:00:00,52.59
7/25/2018 16:00:00,51.35
7/26/2018 16:00:00,52.53
7/27/2018 16:00:00,52.11
7/30/2018 16:00:00,51.88
7/31/2018 16:00:00,52.27
8/1/2018 16:00:00,51.74
8/2/2018 16:00:00,50.81
8/3/2018 16:00:00,51.48
8/6/2018 16:00:00,51.76
8/7/2018 16:00:00,53
8/8/2018 16:00:00,53.27
8/9/2018 16:00:00,53.45
8/10/2018 16:00:00,53.38
8/13/2018 16:00:00,50.78
8/14/2018 16:00:00,50.99
8/15/2018 16:00:00,50.23
8/16/2018 16:00:00,50.48
8/17/2018 16:00:00,50.57
8/20/2018 16:00:00,51.13
8/21/2018 16:00:00,53.26
8/22/2018 16:00:00,52.53
8/23/2018 16:00:00,51.71
8/24/2018 16:00:00,51.55
8/27/2018 16:00:00,52.42
8/28/2018 16:00:00,52.61
8/29/2018 16:00:00,52.69
8/30/2018 16:00:00,51.84
8/31/2018 16:00:00,51.67
9/4/2018 16:00:00,51.72
9/5/2018 16:00:00,52.52
9/6/2018 16:00:00,52.34
9/7/2018 16:00:00,50.53
9/10/2018 16:00:00,50.69
9/11/2018 16:00:00,51.17
9/12/2018 16:00:00,52.22
9/13/2018 16:00:00,52.35
9/14/2018 16:00:00,52.53
9/17/2018 16:00:00,51.16
9/18/2018 16:00:00,51.81
9/19/2018 16:00:00,51.39
9/20/2018 16:00:00,50.72
9/21/2018 16:00:00,50.13
9/24/2018 16:00:00,49
9/25/2018 16:00:00,48.87
9/26/2018 16:00:00,47.9
9/27/2018 16:00:00,47.08
9/28/2018 16:00:00,46.69
10/1/2018 16:00:00,47.16
10/2/2018 16:00:00,46.77
10/3/2018 16:00:00,46.24
10/4/2018 16:00:00,44.69
10/5/2018 16:00:00,44.78
10/8/2018 16:00:00,45.44
10/9/2018 16:00:00,44.31
10/10/2018 16:00:00,43.72
10/11/2018 16:00:00,43.31
10/12/2018 16:00:00,43.15
10/15/2018 16:00:00,43.04
10/16/2018 16:00:00,44.1
10/17/2018 16:00:00,43.08
10/18/2018 16:00:00,42.42
10/19/2018 16:00:00,40.83
10/22/2018 16:00:00,39.37
10/23/2018 16:00:00,40.7
10/24/2018 16:00:00,38.84
10/25/2018 16:00:00,40.19
10/26/2018 16:00:00,41.79
10/29/2018 16:00:00,41.01
10/30/2018 16:00:00,43.04
10/31/2018 16:00:00,42.98
11/1/2018 16:00:00,44.04
11/2/2018 16:00:00,43.28
11/5/2018 16:00:00,44.39
11/6/2018 16:00:00,43.98
11/7/2018 16:00:00,42.97
11/8/2018 16:00:00,41.9
11/9/2018 16:00:00,41.9
11/12/2018 16:00:00,40.68
11/13/2018 16:00:00,41.26
11/14/2018 16:00:00,41.61
11/15/2018 16:00:00,39.53
11/16/2018 16:00:00,41.05
11/19/2018 16:00:00,41.47
11/20/2018 16:00:00,42.14
11/21/2018 16:00:00,42.78
11/23/2018 13:00:00,42.74
11/26/2018 16:00:00,42.84
11/27/2018 16:00:00,42.87
11/28/2018 16:00:00,43.88
11/29/2018 16:00:00,43.04
11/30/2018 16:00:00,42.73
12/3/2018 16:00:00,43.61
12/4/2018 16:00:00,41.13
12/6/2018 16:00:00,42.46
12/7/2018 16:00:00,42
12/10/2018 16:00:00,41.12
12/11/2018 16:00:00,40.47
12/12/2018 16:00:00,41.18
12/13/2018 16:00:00,40.91
12/14/2018 16:00:00,40.21
12/17/2018 16:00:00,40.02
12/18/2018 16:00:00,41.01
12/19/2018 16:00:00,41.03
12/20/2018 16:00:00,40.88
12/21/2018 16:00:00,38.96
12/24/2018 13:00:00,38.06
12/26/2018 16:00:00,39.46
12/27/2018 16:00:00,39.5
12/28/2018 16:00:00,39.43
12/31/2018 16:00:00,39.15
1/2/2019 16:00:00,39.96
1/3/2019 16:00:00,39.55
1/4/2019 16:00:00,41.21
1/7/2019 16:00:00,42.38
1/8/2019 16:00:00,42.89
